{'epoch': 66, 'train_loss': 2.7270377, 'valid_loss': 4.715275, 'lr': [0.01]}
{'epoch': 67, 'train_loss': 2.5176532, 'valid_loss': 4.577731, 'lr': [0.01]}
{'epoch': 68, 'train_loss': 2.590298, 'valid_loss': 4.589513, 'lr': [0.01]}
{'epoch': 69, 'train_loss': 2.5482268, 'valid_loss': 4.621791, 'lr': [0.01]}
{'epoch': 70, 'train_loss': 2.6355567, 'valid_loss': 4.47062, 'lr': [0.01]}
{'epoch': 71, 'train_loss': 2.60084, 'valid_loss': 4.528548, 'lr': [0.01]}
{'epoch': 72, 'train_loss': 2.526104, 'valid_loss': 4.5468645, 'lr': [0.01]}
{'epoch': 73, 'train_loss': 2.5188947, 'valid_loss': 4.434364, 'lr': [0.01]}
{'epoch': 74, 'train_loss': 2.4686904, 'valid_loss': 4.372812, 'lr': [0.01]}
{'epoch': 75, 'train_loss': 2.4023504, 'valid_loss': 4.4773254, 'lr': [0.01]}
{'epoch': 76, 'train_loss': 2.399201, 'valid_loss': 4.3674436, 'lr': [0.01]}
{'epoch': 77, 'train_loss': 2.371726, 'valid_loss': 4.39985, 'lr': [0.01]}
{'epoch': 78, 'train_loss': 2.3355668, 'valid_loss': 4.3532357, 'lr': [0.01]}
{'epoch': 79, 'train_loss': 2.2505565, 'valid_loss': 4.3596125, 'lr': [0.01]}
{'epoch': 80, 'train_loss': 2.3241813, 'valid_loss': 4.345664, 'lr': [0.01]}
{'epoch': 81, 'train_loss': 2.2351031, 'valid_loss': 4.2501917, 'lr': [0.01]}
{'epoch': 82, 'train_loss': 2.192631, 'valid_loss': 4.3196716, 'lr': [0.01]}
{'epoch': 83, 'train_loss': 2.1800008, 'valid_loss': 4.267444, 'lr': [0.01]}
{'epoch': 84, 'train_loss': 2.1403234, 'valid_loss': 4.271987, 'lr': [0.01]}
{'epoch': 85, 'train_loss': 2.0758126, 'valid_loss': 4.282143, 'lr': [0.01]}
{'epoch': 86, 'train_loss': 2.1330428, 'valid_loss': 4.30412, 'lr': [0.01]}
{'epoch': 87, 'train_loss': 2.1450639, 'valid_loss': 4.315193, 'lr': [0.01]}
{'epoch': 88, 'train_loss': 2.1891904, 'valid_loss': 4.3756776, 'lr': [0.01]}
{'epoch': 89, 'train_loss': 2.14034, 'valid_loss': 4.3570523, 'lr': [0.01]}
{'epoch': 90, 'train_loss': 2.1539226, 'valid_loss': 4.3818054, 'lr': [0.01]}
{'epoch': 91, 'train_loss': 2.0755656, 'valid_loss': 4.2481203, 'lr': [0.01]}
{'epoch': 92, 'train_loss': 1.9775741, 'valid_loss': 4.2690454, 'lr': [0.01]}
{'epoch': 93, 'train_loss': 1.9075941, 'valid_loss': 4.210586, 'lr': [0.01]}
{'epoch': 94, 'train_loss': 1.9430977, 'valid_loss': 4.1872363, 'lr': [0.01]}
{'epoch': 95, 'train_loss': 1.9725343, 'valid_loss': 4.2040734, 'lr': [0.01]}
{'epoch': 96, 'train_loss': 1.9368345, 'valid_loss': 4.16487, 'lr': [0.01]}
{'epoch': 97, 'train_loss': 1.874006, 'valid_loss': 4.1134877, 'lr': [0.01]}
{'epoch': 98, 'train_loss': 1.9114743, 'valid_loss': 4.095057, 'lr': [0.01]}
{'epoch': 99, 'train_loss': 1.8100948, 'valid_loss': 4.0633993, 'lr': [0.01]}
{'epoch': 100, 'train_loss': 1.7677944, 'valid_loss': 4.0015435, 'lr': [0.01]}
{'epoch': 101, 'train_loss': 1.7690634, 'valid_loss': 3.9967945, 'lr': [0.01]}
{'epoch': 102, 'train_loss': 1.7805765, 'valid_loss': 3.9568212, 'lr': [0.01]}
{'epoch': 103, 'train_loss': 1.7673719, 'valid_loss': 3.9110374, 'lr': [0.01]}
{'epoch': 104, 'train_loss': 1.6555649, 'valid_loss': 3.8555722, 'lr': [0.01]}
{'epoch': 105, 'train_loss': 1.6452183, 'valid_loss': 3.8407457, 'lr': [0.01]}
{'epoch': 106, 'train_loss': 1.626435, 'valid_loss': 3.8159375, 'lr': [0.01]}
{'epoch': 107, 'train_loss': 1.6706512, 'valid_loss': 3.8057182, 'lr': [0.01]}
{'epoch': 108, 'train_loss': 1.6825892, 'valid_loss': 3.8316588, 'lr': [0.01]}
{'epoch': 109, 'train_loss': 1.6342046, 'valid_loss': 3.905661, 'lr': [0.01]}
{'epoch': 110, 'train_loss': 1.6362963, 'valid_loss': 3.9146981, 'lr': [0.01]}
{'epoch': 111, 'train_loss': 1.6418978, 'valid_loss': 3.8833332, 'lr': [0.01]}
{'epoch': 112, 'train_loss': 1.6217146, 'valid_loss': 3.8610458, 'lr': [0.01]}
{'epoch': 113, 'train_loss': 1.595137, 'valid_loss': 3.8603141, 'lr': [0.01]}
{'epoch': 114, 'train_loss': 1.548517, 'valid_loss': 3.8019319, 'lr': [0.01]}
{'epoch': 115, 'train_loss': 1.505734, 'valid_loss': 3.8012016, 'lr': [0.01]}
{'epoch': 116, 'train_loss': 1.5204806, 'valid_loss': 3.8347096, 'lr': [0.01]}
{'epoch': 117, 'train_loss': 1.5010691, 'valid_loss': 3.844267, 'lr': [0.01]}
{'epoch': 118, 'train_loss': 1.5185059, 'valid_loss': 3.8232226, 'lr': [0.01]}
{'epoch': 119, 'train_loss': 1.4996043, 'valid_loss': 3.7670212, 'lr': [0.01]}
{'epoch': 120, 'train_loss': 1.4756215, 'valid_loss': 3.746797, 'lr': [0.008]}
{'epoch': 121, 'train_loss': 1.4720328, 'valid_loss': 3.750502, 'lr': [0.008]}
{'epoch': 122, 'train_loss': 1.3929843, 'valid_loss': 3.759848, 'lr': [0.008]}
{'epoch': 123, 'train_loss': 1.3991226, 'valid_loss': 3.7484689, 'lr': [0.008]}
